id,mood,timestamp,relative_position,device_type,subject
565,somewhat nervous,20/10/2019 13:14,0.5,BD,2
566,very nervous,20/10/2019 13:24,0.333333,BD,2
567,happy,20/10/2019 15:22,0.739484,CL,23
568,very bored,20/10/2019 16:29,0.5,BD,2
569,somewhat bored,20/10/2019 16:30,0.5,BD,2
570,very happy,20/10/2019 16:32,1,BD,2
571,somewhat happy,20/10/2019 16:33,0.5,BD,2
572,very relaxed,20/10/2019 16:33,1,BD,2
573,very bored,20/10/2019 16:34,1,BD,2
574,somewhat sad,20/10/2019 16:35,0.5,BD,2
575,somewhat bored,20/10/2019 16:35,1,BD,2
576,relaxed,20/10/2019 16:08,0.884633,CL,23
577,relaxed,20/10/2019 19:55,0.0524724,CL,2
578,calm,21/10/2019 07:27,0.370944,CL,23
579,relaxed,21/10/2019 11:16,0.239426,CL,23
580,somewhat nervous,21/10/2019 12:30,0.125,BD,2
581,calm,21/10/2019 13:57,0.334159,CL,23
582,relaxed,21/10/2019 22:00,0.335946,CL,23
583,calm,22/10/2019 06:39,0.369397,CL,23
584,very nervous,22/10/2019 09:39,1,BD,2
585,very annoyed,22/10/2019 09:44,1,BD,2
586,relaxed,22/10/2019 13:29,0.317687,CL,23
587,nervous,22/10/2019 15:44,0.0700691,CL,23
588,calm,22/10/2019 17:59,0.295208,CL,23
589,relaxed,22/10/2019 20:25,0.462322,CL,23
590,very sad,22/10/2019 23:54,0.5,BD,2
591,calm,23/10/2019 06:22,0.411129,CL,23
592,relaxed,23/10/2019 14:01,0.452756,CL,23
594,calm,24/10/2019 06:17,0.361978,CL,23
606,relaxed,24/10/2019 14:34,0.412758,CL,23
609,calm,25/10/2019 06:04,0.268934,CL,23
612,relaxed,25/10/2019 11:31,0.513915,CL,23
613,very relaxed,25/10/2119 15:22,1,BD,23
614,very happy,25/10/2119 18:09,1,BD,23
617,very excited,25/10/2119 23:04,1,BD,23
618,very relaxed,26/10/2119 00:27,1,BD,23
619,very calm,26/10/2119 08:57,0.5,BD,23
621,very happy,26/10/2119 11:54,1,BD,23
622,somewhat happy,26/10/2119 13:22,0.5,BD,23
623,very happy,26/10/2119 13:37,1,BD,23
624,somewhat happy,26/10/2119 13:47,0.5,BD,23
625,very happy,26/10/2119 13:57,1,BD,23
626,somewhat happy,26/10/2119 14:02,0.5,BD,23
627,very happy,26/10/2119 14:07,1,BD,23
628,very relaxed,26/10/2119 16:04,1,BD,23
630,very happy,26/10/2119 20:05,1,BD,23
631,very calm,27/10/2119 08:55,0.5,BD,23
633,very relaxed,27/10/2119 12:21,0.5,BD,23
634,very happy,27/10/2119 21:55,1,BD,23
635,very relaxed,27/10/2119 23:43,1,BD,23
637,somewhat happy,28/10/2119 11:09,0.5,BD,23
638,very relaxed,28/10/2119 14:01,1,BD,23
639,very calm,28/10/2119 16:43,0.5,BD,23
641,very relaxed,28/10/2119 20:48,1,BD,23
642,very calm,29/10/2119 00:05,0.5,BD,23
643,very relaxed,29/10/2119 08:20,1,BD,23
646,very happy,31/10/2119 13:38,1,BD,23
647,very calm,31/10/2119 15:50,0.5,BD,23
648,somewhat relaxed,01/11/2119 11:47,0.5,BD,23
